objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,239.8147385,-1.173277855,19.43128,18.08746,17.36454,16.96396,16.68875,3.86199E+17,GALAXY,0.1020495
1.23765E+18,240.15878,-1.111900514,18.58327,16.46627,15.39938,14.88185,14.47307,3.87387E+17,GALAXY,0.05121299
1.23765E+18,240.2631502,-1.157239132,18.48978,16.27312,15.18054,14.6564,14.2727,3.87376E+17,GALAXY,0.05815966
1.23765E+18,240.4755685,-1.219247376,18.60364,16.66134,15.66368,15.16306,14.79757,3.87376E+17,GALAXY,0.0578673
1.23765E+18,240.7992991,-1.197171314,19.35331,17.29564,16.26735,15.76802,15.37816,3.87347E+17,GALAXY,0.06031899
1.23765E+18,241.0298964,-1.083635811,19.27728,17.29287,16.17106,15.60136,15.18787,3.87337E+17,GALAXY,0.07281286
1.23765E+18,241.4236801,-1.096638498,18.73881,17.47087,16.92612,16.7105,16.58493,3.87312E+17,STAR,6.86E-05
1.23765E+18,241.5122069,-1.116403787,19.29878,17.11587,16.0039,15.51073,15.06401,3.88514E+17,GALAXY,0.1056013
1.23765E+18,241.6475549,-1.196502482,17.93357,15.96637,15.00565,14.53651,14.17054,3.88518E+17,GALAXY,0.03310981
1.23765E+18,241.6972506,-1.101641702,17.8066,15.60772,14.55069,13.99383,13.53825,3.88517E+17,GALAXY,0.03391345
1.23765E+18,241.948576,-1.156135961,19.29225,17.82751,17.08445,16.64282,16.37393,3.88503E+17,GALAXY,0.0717506
1.23765E+18,242.106324,-1.214730007,18.38394,17.33191,16.83154,16.5251,16.28992,3.88495E+17,GALAXY,0.03480103
1.23765E+18,242.115617,-1.229709904,19.37571,18.15088,17.58716,17.28167,17.0926,3.88496E+17,GALAXY,0.03025491
1.23765E+18,242.2593298,-1.104932572,19.47313,18.10441,17.48475,17.08096,16.87692,3.88496E+17,GALAXY,0.07978477
1.23765E+18,242.4804886,-1.123613238,19.42297,17.80215,16.99701,16.54752,16.24635,3.88469E+17,GALAXY,0.07082564
1.23765E+18,242.7253265,-1.202775606,17.40601,16.13656,15.44628,15.10748,14.81359,3.8846E+17,GALAXY,0.02436887
